trip10%,trip1%,passenger10%,passenger1%
8,68,8,126
9,69,10,405
56,209,13,598
57,210,39,660
68,320,46,689
69,492,47,709
84,493,62,920
85,601,73,999
86,602,82,1002
124,796,92,1102
125,797,100,1171
155,975,103,1174
165,1069,112,1200
168,1351,118,1252
175,1502,126,1383
176,1503,135,1422
177,1517,137,1526
209,2262,148,1645
210,2450,180,1656
228,2451,191,1786
232,2513,202,2009
233,2526,220,2013
238,2527,236,2068
239,2540,245,2234
256,2541,250,2377
257,2550,255,2598
287,2551,259,2606
288,2839,265,2688
289,2840,270,2751
290,3329,272,2767
306,3341,287,2844
307,3342,296,2930
318,3350,301,3128
319,3351,337,3253
320,3554,342,3288
323,3555,344,3372
324,3633,375,3402
325,3716,382,3505
326,3717,389,3642
333,3718,405,3787
334,3771,407,4060
335,3772,411,4119
336,3869,426,4199
361,3870,436,4259
368,4227,460,4381
390,4228,466,4577
391,4262,473,4617
404,4263,489,4703
405,4449,494,4753
420,4450,521,4852
473,4532,525,4894
474,4533,527,4913
485,4667,538,4975
492,4685,564,5124
493,4686,565,5134
498,4782,567,5248
499,4783,577,5268
522,5242,598,5293
523,5243,600,5300
535,5268,604,5327
536,5269,613,5430
537,5320,640,5435
550,5321,644,5490
551,5604,653,5516
553,5970,660,5521
554,5971,665,5646
559,6387,666,5673
560,6618,672,5706
597,6619,677,5789
598,6637,689,5849
601,6638,695,5938
602,6649,703,6201
631,6650,709,6282
632,6724,717,6320
670,6725,720,6344
671,6890,725,6401
682,6891,731,6486
711,6917,743,6515
712,6918,745,6675
722,6919,751,6830
723,7145,764,6835
726,7311,766,6936
727,7312,822,7186
743,7699,830,7328
744,7861,833,8252
745,8020,857,8313
765,8021,879,8619
766,8460,904,8839
796,8461,905,8932
797,8734,915,9020
825,8947,916,9099
826,8948,918,9279
836,8949,920,9401
839,8950,934,9414
840,9074,940,9596
841,9075,958,9720
855,9099,970,9758
856,9100,979,9768
857,9194,999,9902
881,9195,1000,9912
926,9338,1002,10012
927,9339,1004,10091
961,9555,1036,10140
962,9556,1041,10163
963,9557,1054,10181
964,9705,1067,10228
975,9706,1074,10258
1069,9747,1078,10282
1104,9841,1093,10355
1105,10080,1098,10382
1107,10081,1102,10428
1108,10537,1123,10545
1109,10538,1128,10736
1123,10766,1139,10763
1124,10767,1149,10786
1158,10888,1151,10863
1245,10916,1164,10887
1246,10917,1171,11284
1247,11047,1174,11301
1248,11252,1179,11384
1309,11253,1182,11553
1310,11677,1187,11630
1348,11882,1200,11651
1351,11883,1216,11773
1402,11921,1218,11776
1409,11922,1222,11791
1410,12187,1235,11954
1475,12188,1236,12063
1476,12276,1240,12101
